caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
13068,35 to 39,35 to 44,Female,Divorced,... every day?,... excellent?,... excellent?,"$5,000 to $9,999","$5,000 to $9,999"
13069,45 to 49,45 to 54,Female,Widowed,... every day?,Don't know,Don't know,"$60,000 to $79,999","$60,000 to $79,999"
13070,75 to 79,75 years and over,Male,Married,Don't know,... good?,... good?,Not stated,Not stated
13071,60 to 64,55 to 64,Male,Married,... every day?,... excellent?,... excellent?,"$100,000 or more","$150,000 or more"
13072,50 to 54,45 to 54,Male,Married,... every day?,... good?,... good?,"$30,000 to $39,999","$50,000 to $59,999"
13073,40 to 44,35 to 44,Female,Living common-law,... about once a week?,... very good?,... good?,"$100,000 or more","$150,000 or more"
13074,80 years and over,75 years and over,Male,Divorced,... never,... fair?,... excellent?,Not stated,Not stated
13075,25 to 29,25 to 34,Female,Single (Never married),... a few times a week?,... good?,... very good?,"$10,000 to $14,999",Don't know
13076,35 to 39,35 to 44,Male,Single (Never married),... a few times a week?,... very good?,... very good?,"$15,000 to $19,999","$60,000 to $79,999"
13077,50 to 54,45 to 54,Male,Separated,... every day?,... good?,... good?,"$50,000 to $59,999","$80,000 to $99,999"
13078,20 to 24,15 to 24,Female,Living common-law,... a few times a week?,... fair?,... good?,"$15,000 to $19,999",Don't know
13079,45 to 49,45 to 54,Male,Separated,... every day?,... good?,... good?,"$40,000 to $49,999","$40,000 to $49,999"
13080,35 to 39,35 to 44,Male,Married,... every day?,... excellent?,... good?,"$40,000 to $49,999","$50,000 to $59,999"
13081,45 to 49,45 to 54,Male,Single (Never married),... every day?,... fair?,... excellent?,"$15,000 to $19,999","$40,000 to $49,999"
13082,65 to 69,65 to 74,Female,Widowed,... a few times a week?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
13083,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... very good?,... good?,No income,Not stated
13084,45 to 49,45 to 54,Male,Married,... every day?,... very good?,... very good?,"$40,000 to $49,999","$80,000 to $99,999"
13085,35 to 39,35 to 44,Male,Married,... every day?,... good?,... good?,"$60,000 to $79,999","$100,000 to $149,999"
13086,60 to 64,55 to 64,Female,Married,... about once a week?,... very good?,... very good?,"$15,000 to $19,999","$30,000 to $39,999"
13087,60 to 64,55 to 64,Female,Living common-law,... every day?,... excellent?,... very good?,"$60,000 to $79,999",Don't know
13088,35 to 39,35 to 44,Male,Married,... a few times a week?,... fair?,... very good?,"$100,000 or more","$150,000 or more"
13089,40 to 44,35 to 44,Male,Separated,... about once a week?,... good?,... very good?,"$60,000 to $79,999","$60,000 to $79,999"
13090,30 to 34,25 to 34,Female,Married,... every day?,... excellent?,... excellent?,No income,Not stated
13091,65 to 69,65 to 74,Female,Married,... never,... very good?,... very good?,Not stated,Not stated
13092,35 to 39,35 to 44,Female,Married,... a few times a week?,... good?,... good?,"$100,000 or more","$150,000 or more"
13093,15 to 17,15 to 24,Female,Single (Never married),... every day?,... very good?,... excellent?,No income,Don't know
13094,20 to 24,15 to 24,Female,Single (Never married),... about once a week?,... excellent?,... excellent?,"$15,000 to $19,999",Don't know
13095,75 to 79,75 years and over,Female,Married,... a few times a week?,Not stated,Not stated,Not stated,Not stated
13096,35 to 39,35 to 44,Male,Married,... every day?,... very good?,... good?,"$80,000 to $99,999","$80,000 to $99,999"
13097,50 to 54,45 to 54,Male,Married,... a few times a week?,... very good?,... good?,"$100,000 or more","$150,000 or more"
13098,80 years and over,75 years and over,Female,Widowed,... never,... very good?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
13099,50 to 54,45 to 54,Male,Married,... a few times a week?,... very good?,... excellent?,"$80,000 to $99,999","$100,000 to $149,999"
13100,18 to 19,15 to 24,Female,Single (Never married),... a few times a week?,... very good?,... very good?,No income,"$60,000 to $79,999"
13101,70 to 74,65 to 74,Female,Divorced,... a few times a week?,... good?,... very good?,"$40,000 to $49,999","$40,000 to $49,999"
13102,50 to 54,45 to 54,Female,Married,... about once a week?,... excellent?,... excellent?,No income,Not stated
13103,20 to 24,15 to 24,Female,Single (Never married),... every day?,... good?,... fair?,"$5,000 to $9,999",Not stated
13104,65 to 69,65 to 74,Male,Divorced,... about once a week?,... very good?,... very good?,"$50,000 to $59,999","$50,000 to $59,999"
13105,55 to 59,55 to 64,Male,Single (Never married),... every day?,... very good?,... very good?,Not stated,Not stated
